data;

set Wines :=  W01	W02	W03	W04	W05	W06	W07;
set Parcels := 1 2 3 4 5 6 7 8 9 10;
set Grapes := 
	Alfrocheiro
	Amaral
	Aragonez
	Aramon
	Baga
	Bastardo
	Bonvedro
	Branjo
	Cabinda
	Casculho
	Cidadelhe
	Cidreiro
	Concieira
	Cornifesto
	Corropio
	Corvo
	Deliciosa
	Donzelinho
	Engomada
	Espadeiro
	Ferral
	Galego
	Grangeal
	Lourela
	Lusitano
	Malandra
	Malvarisco
	Marufo
	Melra
	Molar
	Monvedro
	Moreto
	Moscatel
	Mourisco
	Mulata
	Nevoeira
	Padeiro
	Patorra
	Pedral
	Pilongo
	Ramisco
	Ricoca
	Rufete
	Saborinho
	Tintinha
	Touriga
	Trincadeira
	Triunfo
	Varejoa
	Xara;


param area :=
	1	13 
	2	7  
	3	13 
	4	15 
	5	8  
	6	14 
	7	8  
	8	15 
	9	14 
	10	  10 ;


param cost :=
	Alfrocheiro	  11
	Amaral		 60
	Aragonez	  42
	Aramon		 67
	Baga		36
	Bastardo	  42
	Bonvedro	  52
	Branjo		 37
	Cabinda		62
	Casculho	  48
	Cidadelhe	 14
	Cidreiro	  21
	Concieira	 22
	Cornifesto	66
	Corropio	  24
	Corvo		  41
	Deliciosa	 85
	Donzelinho	89
	Engomada	  74
	Espadeiro	 68
	Ferral		 60
	Galego		 33
	Grangeal	  35
	Lourela		22
	Lusitano	  67
	Malandra	  84
	Malvarisco	15
	Marufo		 96
	Melra		  60
	Molar		  95
	Monvedro	  72
	Moreto		 44
	Moscatel	  11
	Mourisco	  24
	Mulata		 24
	Nevoeira	  67
	Padeiro		94
	Patorra		21
	Pedral		 79
	Pilongo		41
	Ramisco		31
	Ricoca		 86
	Rufete		 21
	Saborinho	 29
	Tintinha	  12
	Touriga		50
	Trincadeira	  46
	Triunfo		77
	Varejoa		93
	Xara		10;


param min_comp :W01	W02	W03	W04	W05	W06	W07 :=
	Alfrocheiro	0	0	0	0	0	21	0 
	Amaral	0	0	0	0	0	0	0 
	Aragonez	0	0	0	0	0	0	0 
	Aramon	0	0	0	0	0	0	15
	Baga	0	0	0	0	0	0	0 
	Bastardo	0	0	0	0	0	0	0 
	Bonvedro	0	0	20	0	0	0	0 
	Branjo	0	42	0	0	0	0	0 
	Cabinda	0	0	10	0	0	0	0 
	Casculho	0	0	0	0	0	0	0 
	Cidadelhe	0	0	0	0	0	31	0 
	Cidreiro	0	0	0	0	0	0	0 
	Concieira	0	0	0	0	0	0	0 
	Cornifesto	9	0	0	0	0	0	0 
	Corropio	0	0	0	10	0	0	0 
	Corvo	0	0	0	0	0	0	0 
	Deliciosa	0	0	0	0	8	0	0 
	Donzelinho	0	0	0	0	0	0	0 
	Engomada	0	0	0	0	0	0	0 
	Espadeiro	0	0	0	0	0	0	0 
	Ferral	0	0	22	0	0	0	0 
	Galego	0	0	0	0	0	0	13
	Grangeal	0	0	0	0	15	0	2 
	Lourela	0	0	0	0	0	21	0 
	Lusitano	0	0	0	0	0	0	0 
	Malandra	0	5	0	0	0	0	0 
	Malvarisco	0	0	0	0	0	0	0 
	Marufo	0	0	0	0	0	0	0 
	Melra	0	0	29	0	0	0	16
	Molar	0	0	0	0	0	0	0 
	Monvedro	0	0	0	0	0	0	0 
	Moreto	0	0	0	0	0	0	0 
	Moscatel	0	0	0	0	0	0	8 
	Mourisco	0	0	0	0	0	0	0 
	Mulata	0	0	0	0	0	0	0 
	Nevoeira	0	0	0	22	0	0	0 
	Padeiro	14	0	0	0	47	0	0 
	Patorra	14	0	0	0	0	0	8 
	Pedral	0	6	0	17	0	0	6 
	Pilongo	0	0	0	0	0	0	0 
	Ramisco	28	0	0	0	0	0	0 
	Ricoca	0	0	5	0	0	0	0 
	Rufete	0	0	0	0	0	0	11
	Saborinho	0	0	0	0	0	0	0 
	Tintinha	0	0	0	0	0	0	0 
	Touriga	23	0	0	0	0	0	0 
	Trincadeira	0	0	0	0	0	0	0 
	Triunfo	0	9	0	0	0	0	0 
	Varejoa	0	0	0	0	0	0	0 
	Xara	0	0	0	11	0	0	9;

param yield1:	1		2	 3	 4	 	5	 6	 	7	 8		9	 10 :=
Alfrocheiro		1.20	1.07  0.75  1.20  0.81  0.72  0.51  1.25  1.22  1.40 
Amaral			1.34	1.45  1.49  0.94  0.67  1.11  0.91  1.15  0.79  0.53 
Aragonez		1.01	0.90  0.52  1.32  1.15  0.58  0.80  1.15  0.76  1.40 
Aramon			1.24	1.21  0.96  1.31  1.49  1.21  0.77  1.46  1.47  1.50 
Baga		1.02	 1.44  1.11  1.22  0.92  0.78  1.42  1.12  0.55  0.63 
Bastardo	  0.82	 1.22  0.53  1.18  0.59  1.16  0.62  0.57  1.15  0.90 
Bonvedro	  0.64	 1.30  0.71  1.11  1.05  1.42  0.85  1.03  1.09  0.55 
Branjo		 1.26	 1.45  1.13  1.09  0.60  0.58  1.08  0.51  0.80  1.06 
Cabinda		0.75	 0.83  1.15  0.73  1.33  0.69  1.10  1.15  0.84  1.30 
Casculho	  0.70	 1.22  1.24  0.85  0.91  1.40  1.26  1.34  0.74  0.53 
Cidadelhe	 1.14	 0.97  1.48  0.87  1.47  1.19  1.17  1.48  1.34  0.57 
Cidreiro	  0.64	 0.73  0.98  1.44  1.39  0.56  0.79  1.46  1.44  1.26 
Concieira	 0.84	 1.39  1.36  1.02  1.21  1.10  1.40  1.06  0.83  1.48 
Cornifesto	1.48	 0.90  1.09  1.01  1.43  0.98  0.55  1.40  0.64  0.81 
Corropio	  0.94	 0.84  1.21  0.53  0.59  1.48  0.76  1.25  0.70  1.06 
Corvo		  0.79	 0.80  0.53  1.43  1.30  0.98  0.86  1.03  0.71  0.68 
Deliciosa	 0.94	 0.86  1.33  1.40  0.65  0.59  1.08  0.74  1.21  1.13 
Donzelinho	1.01	 1.00  0.75  1.14  1.25  0.91  1.42  0.99  1.33  0.56 
Engomada	  1.42	 0.51  1.07  0.92  0.93  0.87  1.25  0.94  0.60  1.25 
Espadeiro	 1.39	 0.58  1.01  0.96  0.51  1.11  0.81  1.44  0.61  1.41 
Ferral		 0.76	 1.03  1.39  0.68  1.18  1.26  1.13  0.55  1.13  1.11 
Galego		 0.54	 0.82  0.55  1.39  1.11  1.29  0.75  1.35  0.63  1.41 
Grangeal	  1.09	 1.35  0.59  1.10  1.32  1.09  0.56  1.39  0.53  1.28 
Lourela		1.35	 1.32  0.57  1.00  0.51  1.31  0.68  1.00  0.77  0.61 
Lusitano	  0.76	 0.55  1.12  1.25  1.25  0.94  1.26  1.11  0.96  0.94 
Malandra	  1.09	 1.49  0.98  1.16  0.74  0.95  1.32  0.72  0.57  1.24 
Malvarisco	1.32	 1.37  0.80  1.07  0.72  0.58  1.46  1.17  0.60  0.83 
Marufo		 0.74	 1.33  1.32  1.20  1.43  1.48  0.97  0.56  0.69  1.43 
Melra		  0.81	 0.89  0.63  1.33  1.35  1.01  0.51  0.99  1.15  1.01 
Molar		  1.27	 0.75  1.47  1.13  0.79  0.98  1.37  1.09  1.30  0.78 
Monvedro	  1.10	 1.16  0.68  0.65  0.88  1.11  0.76  0.61  0.85  0.56 
Moreto		 1.42	 1.31  1.13  1.25  1.20  0.88  1.05  0.79  1.14  0.69 
Moscatel	  1.47	 1.40  1.22  1.38  1.17  0.97  0.80  0.57  0.66  0.67 
Mourisco	  1.49	 0.89  0.78  1.02  1.07  0.60  1.08  1.18  0.76  0.98 
Mulata		 1.15	 1.32  1.22  0.65  0.55  0.70  0.72  0.91  0.79  0.85 
Nevoeira	  1.12	 1.25  1.02  0.70  0.76  0.80  0.73  1.17  0.66  0.62 
